Kod TERYT;Województwo;Liczba głosów ważnych;Grzegorz Michał Braun;Andrzej Sebastian Duda;Adam Sebastian Jarubas;Bronisław Maria Komorowski;Janusz Ryszard Korwin-Mikke;Marian Janusz Kowalski;Paweł Piotr Kukiz;Magdalena Agnieszka Ogórek;Janusz Marian Palikot;Paweł Jan Tanajno;Jacek Wilkk;Liczba obwodów
020000;dolnośląskie;1093136;8936;329350;9673;413593;35184;4651;240258;26588;17513;2345;5045;306
040000;kujawsko-pomorskie;724022;4378;215995;9846;284216;21741;3290;148273;21119;10731;1207;3226;205
060000;lubelskie;836691;8880;367389;20935;190065;26050;8808;177679;17663;14283;1241;3698;208
080000;lubuskie;345937;2341;92488;3908;143734;11972;1634;71831;10380;5571;590;1488;76
140000;mazowieckie;2389466;26825;860985;30001;783155;80260;13384;486707;49101;38792;7260;12996;918
120000;małopolskie;1371855;12654;606824;15519;374793;50925;5841;257956;24788;14050;2573;5932;491
160000;opolskie;342545;2429;88653;2891;129264;9623;1171;95494;7436;3878;429;1277;72
180000;podkarpackie;837225;8132;419352;11776;170962;27396;5900;167643;15402;6913;891;2858;93
200000;podlaskie;442847;4340;180155;6390;122837;16489;3029;90243;11816;5131;623;1794;182
220000;pomorskie;878763;6919;243691;7080;378940;28072;4302;170259;19575;13062;2189;4674;228
280000;warmińsko-mazurskie;475806;3430;139859;5971;187425;16588;2606;98108;12456;6564;762;2037;101
300000;wielkopolskie;1291862;8097;369448;17767;539699;38897;5504;247177;37293;19050;2825;6105;257
320000;zachodniopomorskie;594042;3528;154812;6059;249253;19779;2655;127204;16690;10581;1013;2468;200
100000;łódzkie;996596;7310;362914;15062;321409;30134;5218;206606;26827;14254;1954;4908;420
240000;śląskie;1802080;12946;565779;13975;635262;58286;7218;425116;46462;25728;3324;7984;169
260000;świętokrzyskie;476061;2987;181398;61908;106453;14688;2419;88525;10287;5141;559;1696;93
