Column1;Column2;Column3;Column4;Column5
Data;Ośrodek badawczy;Duda;Komorowski;Niezdecydowani
Late poll;IPSOS;52;48;
Exit poll;IPSOS;53;47;
22.maj;IBRiS;46;46.7;7
bd.;Millward Brown;45.8;45.3;08.wrz
21.maj;Estymator;49.5;50.5;
21.maj;TNS Polska;43;45;12
21.maj;IBRiS;44.5;45.5;10
20.maj;IBRiS;47;47.3;05.lip
20.maj;Millward Brown;45;47;8
18–20.05;PPG/DO;51;49;
18.maj;Estymator;52;48;
18.maj;Millward Brown;44;47;9
14–20.05;CBOS;48;44;5
bd.;IBRiS;48;43.2;06.wrz
14.maj;Millward Brown;44;40;16
13–14.05;Estymator;54;46;
6–7.05;Millward Brown;41;54;5
27.04–3.05;PPG/DO;45.5;54.5;
28.kwi;Millward Brown;39;55;6
16–22.04;CBOS;34;51;7
13.kwi;Millward Brown;40;55;5
30.mar;Millward Brown;41;52;7
16.mar;Millward Brown;37;53;6
16.lut;Millward Brown;27;59;4
5–11.02;CBOS;19;65;9
