Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Ośrodek badawczy;Data;Duda (PiS);Trzaskowski (PO);Hołownia;Bosak;Kosiniak-Kamysz;Biedroń;Żółtek;Jakubiak;Tanajno;Witkowski;Piotrowski;Niezdecydowani;Inni
IPSOS (late poll);late poll;42.9;30.3;14.0;6.9;2.5;2.3;0.3;0.3;0.2;0.3;0.1;;
IPSOS (exit poll);exit poll;41.8;30.4;13.3;7.4;2.6;2.9;0.3;0.5;0.3;0.3;0.2;;
IBSP;25–26 VI 2020;42.31;31.03;13.88;7.41;1.69;2.54;;;;;;1.14;
Indicator;23–26 VI 2020;41.1;30.2;12.3;7.2;5.4;3.8;;;;;;;
IBRiS;25 VI 2020;41.2;30.7;12.0;7.2;4.1;3.9;;;;;;1.0;
Estymator;24–25 VI 2020;42.7;28.4;10.3;7.6;6.3;3.6;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;
Kantar;24–25 VI 2020;40.0;27.0;13.0;7.0;2.0;3.0;;;;;;6.0;
PGB Opinium;23–25 VI 2020;40.5;29.7;11.0;7.3;7.0;3.8;;;;;;;
CBOS;15–25 VI 2020;45.0;20.0;11.0;4.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;14.0;
IBRiS;24 VI 2020;41.1;26.4;9.7;4.6;5.4;4.9;0.3;0.7;0.2;0.1;0.0;6.6;
IPSOS;22–23 VI 2020;40.0;27.0;10.0;7.0;5.0;4.0;0.0;0.0;0.0;1.0;0.0;4.0;
Social Changes;19–23 VI 2020;41.0;29.0;13.0;7.0;4.0;4.0;1.0;0.0;1.0;0.0;0.0;;
Pollster;20–21 VI 2020;41.38;29.86;11.18;7.34;6.55;2.93;;;;;;0.76;
IBRiS;20 VI 2020;41.0;27.1;8.9;5.6;7.3;4.2;0.5;0.4;0.2;0.0;0.1;4.7;
IBRiS;19–20 VI 2020;43.1;27.4;10.1;6.2;7.5;4.5;;;;;;1.2;
United Survey;19 VI 2020;41.5;28.3;8.6;5.4;8.0;2.2;;;;;5.9;0.2;
Estymator;18–19 VI 2020;44.6;29.3;8.9;7.3;6.9;2.1;;;;;;0.9;
IBRiS;18 VI 2020;41.3;28.2;8.1;4.6;8.3;3.8;0.2;0.1;0.6;0.4;0.0;4.5;
Kantar;17–18 VI 2020;40.0;32.0;10.0;7.0;3.0;2.0;;;;;;6.0;
Pollster;16–17 VI 2020;40.82;30.28;11.74;6.24;6.06;3.28;;;;;;1.58;
IPSOS;15–16 VI 2020;40.0;30.0;10.0;7.0;4.0;2.0;;;;;;6.0;
Social Changes;12–16 VI 2020;39.0;28.0;15.0;7.0;6.0;3.0;0.0;1.0;0.0;;1.0;;
Maison & Partners;12–15 VI 2020;37.0;28.4;14.8;6.3;4.4;4.0;;;;;5.0;;
PGB Opinium;12–15 VI 2020;40.5;28.9;10.6;7.3;8.6;3.8;;;;;;;
Estymator;12–13 VI 2020;44.1;28.3;10.7;7.1;6.6;2.7;;;;;;0.5;
IBRiS;12–13 VI 2020;40.7;28.0;7.8;7.1;9.7;3.0;;;;;;3.6;
Pollster;9–10 VI 2020;41.17;28.14;14.00;4.97;4.99;5.22;;;;;;1.51;
Kantar;5–10 VI 2020;38.0;27.0;8.0;6.0;6.0;4.0;;;;;11.0;;
Social Changes;5–9 VI 2020;40.0;29.0;15.0;7.0;4.0;4.0;0.0;1.0;0.0;;0.0;;
IBRiS;5–6 VI 2020;42.7;26.6;7.7;6.9;7.4;3.4;;;;;5.2;;
Estymator;3–4 VI 2020;43.1;25.3;14.4;7.4;6.8;2.6;;;;;;0.4;
CBOS;22 V – 4 VI 2020;48.6;16.2;10.7;4.2;4.3;1.8;0.0;0.2;;0.2;13.4;0.3;
Pollster;2–3 VI 2020;40.0;28.0;14.0;7.0;6.0;4.0;;;;;;1.0;
Social Changes;29 V – 2 VI 2020;41.0;29.0;13.0;6.0;5.0;5.0;0.0;1.0;0.0;;;;
IBRiS;29–30 V 2020;41.0;26.1;12.0;6.5;7.1;2.3;;;;;5.0;;
United Survey;29 V 2020;41.2;27.0;12.0;6.6;7.0;2.2;;;;;4.0;;
SWPS;28–29 V 2020;32.0;25.0;22.0;9.0;5.0;6.0;;;;;;;
PGB Opinium;26–29 V 2020;36.5;25.0;12.0;6.5;8.4;3.5;;;;;7.6;;
Pollster;26–27 V 2020;38.94;26.60;16.41;5.71;5.46;5.14;;;;;1.74;;
Social Changes;22–25 V 2020;40.0;27.0;17.0;6.0;5.0;4.0;0.0;1.0;0.0;;;;
Maison & Partners;N/A V 2020;40.9;23.2;17.5;6.9;3.5;3.7;;;;;;;
IBRiS;22–23 V 2020;41.0;26.7;10.0;5.0;8.2;3.0;;;;;6.1;;
IBRiS;22–23 V 2020;42.3;23.2;11.4;4.0;9.3;2.7;;;;;7.1;;
Estymator;21–22 V 2020;44.8;22.1;14.1;5.6;9.2;3.1;;;;;1.1;;
PBS;19–20 V 2020;35.0;21.0;19.0;13.0;5.0;8.0;;;;;;;
Kantar;18–19 V 2020;39.0;18.0;15.0;8.0;3.0;2.0;;;;;12.0;1.0;
