Column1;Column2;Column3;Column4;Column5
Ośrodek badawczy;Data;Duda;Trzaskowski;Niezdecydowani (%)
IPSOS;late poll (90%);51.0;49.0;
IPSOS;late poll (50%);50.8;49.2;
IPSOS;exit poll;50.4;49.6;
Indicator;9–10 VII 2020;51.9;48.1;
CBOS;8–10 VII 2020;44.4;44.6;11
Social Changes;8–10 VII 2020;47;46;7
IBRiS;9 VII 2020;45.7;47.4;06.wrz
Kantar;8–9 VII 2020;45.9;46.4;07.lip
Pollster;8–9 VII 2020;50.72;49.28;
Indicator;8–9 VII 2020;45.9;44.7;09.kwi
PGB Opinium;7–9 VII 2020;49.16;50.84;
CBOS;29 VI – 9 VII 2020;50;38;12
IBRiS;8 VII 2020;44.4;45.3;10.mar
Estymator;7–8 VII 2020;50.0;45.7;04.mar
IPSOS;7–8 VII 2020;50;47;3
Kantar;3–8 VII 2020;44;45;11
Social Changes;3–7 VII 2020;47;46;7
IBRiS;4 VII 2020;48.7;47.8;03.maj
United Survey;4 VII 2020;46.8;45.9;07.kwi
IBRiS;4 VII 2020;45.9;47.2;06.wrz
PGB Opinium;2–4 VII 2020;49.62;50.38;
Estymator;2–3 VII 2020;50.9;49.1;
Kantar;2–3 VII 2020;46;47;7
Indicator;30 VI – 2 VII 2020;50.7;49.3;
Pollster;1–2 VII 2020;51.14;48.86;
IBRiS;1 VII 2020;49.0;46.4;04.cze
IPSOS;30 VI – 1 VII 2020;48;49;3
Kantar;30 VI 2020;44;45;11
