"Kod";"Nazwa";"rok;ogółem;2005;[zł]";"rok;ogółem;2006;[zł]";"rok;ogółem;2007;[zł]";"rok;ogółem;2008;[zł]";"rok;ogółem;2009;[zł]";"rok;ogółem;2010;[zł]";"rok;ogółem;2011;[zł]";"rok;ogółem;2012;[zł]";"rok;ogółem;2013;[zł]";"rok;ogółem;2014;[zł]";"rok;ogółem;2015;[zł]";"rok;ogółem;2016;[zł]";"rok;ogółem;2017;[zł]";"rok;ogółem;2018;[zł]";"rok;ogółem;2019;[zł]";"rok;ogółem;2020;[zł]";"rok;ogółem;2021;[zł]";"rok;ogółem;2022;[zł]";"rok;ogółem;2023;[zł]";"rok;ogółem;2024;[zł]";
0200000;"DOLNOŚLĄSKIE";2493,52;2663,85;2924,29;3224,91;3386,15;3516,55;3677,84;3788,48;3943,53;4119,94;4283,33;4455,69;4722,44;4993,63;5388,46;5712,08;6271,47;6964,36;7830,82;8827,73;
0400000;"KUJAWSKO-POMORSKIE";2189,51;2324,54;2513,76;2761,03;2907,49;3017,36;3168,13;3285,48;3420,20;3529,90;3646,76;3764,58;4001,06;4263,53;4621,05;4933,89;5424,38;6006,01;6807,80;7768,57;
0600000;"LUBELSKIE";2185,59;2325,27;2541,86;2825,18;2962,37;3137,39;3322,70;3448,39;3561,27;3659,25;3764,88;3917,35;4079,84;4327,42;4627,78;4948,09;5403,55;5961,68;6762,99;7823,24;
0800000;"LUBUSKIE";2186,41;2306,53;2511,14;2747,87;2899,35;3017,55;3166,64;3276,06;3382,03;3514,50;3638,01;3823,27;4036,21;4348,69;4632,37;4876,10;5373,26;6071,83;6883,83;7858,06;
1000000;"ŁÓDZKIE";2225,13;2339,10;2536,40;2822,09;2976,52;3157,34;3344,66;3484,66;3609,34;3735,46;3872,16;4007,60;4218,80;4538,01;4883,33;5209,46;5738,76;6311,57;7133,38;8187,20;
1200000;"MAŁOPOLSKIE";2344,00;2495,57;2741,19;3020,41;3159,05;3300,37;3478,98;3579,14;3691,50;3819,51;4019,94;4178,64;4454,93;4761,08;5207,93;5577,41;6107,85;6906,02;7782,00;8795,44;
1400000;"MAZOWIECKIE";3240,37;3431,00;3720,47;4105,11;4340,11;4421,39;4626,71;4696,19;4812,22;4980,99;5134,87;5300,71;5568,33;5938,41;6270,31;6562,23;7088,99;7908,51;8837,25;9905,69;
1600000;"OPOLSKIE";2262,58;2441,83;2682,13;2977,96;3110,89;3208,55;3372,35;3439,60;3568,58;3722,12;3863,36;4015,60;4228,88;4477,43;4799,97;5130,23;5601,71;6251,64;7086,52;8072,45;
1800000;"PODKARPACKIE";2108,46;2219,58;2422,96;2680,01;2821,70;2970,29;3120,68;3236,61;3371,45;3496,79;3606,86;3750,43;3920,08;4190,18;4487,03;4769,69;5241,23;5760,79;6485,20;7577,20;
2000000;"PODLASKIE";2228,62;2367,04;2607,33;2852,70;2984,06;3134,97;3277,42;3401,29;3496,27;3620,05;3732,88;3871,97;4101,80;4354,63;4665,49;5004,18;5485,72;6058,40;6841,28;7828,72;
2200000;"POMORSKIE";2553,97;2711,62;3016,27;3277,60;3418,71;3500,05;3674,60;3794,29;3931,77;4100,07;4262,40;4411,37;4630,76;4919,94;5291,60;5585,24;6105,36;6847,09;7597,67;8613,91;
2400000;"ŚLĄSKIE";2623,85;2774,16;2997,19;3346,78;3485,69;3633,80;3836,50;3998,81;4095,87;4188,79;4292,30;4355,27;4556,51;4907,27;5262,42;5509,09;5967,00;6769,88;7651,99;8576,01;
2600000;"ŚWIĘTOKRZYSKIE";2197,98;2316,54;2526,84;2823,29;2974,96;3097,65;3242,24;3371,26;3439,92;3534,56;3687,55;3795,73;4006,63;4280,87;4583,57;4861,76;5318,88;5833,39;6562,88;7704,45;
2800000;"WARMIŃSKO-MAZURSKIE";2148,14;2250,37;2453,58;2691,80;2830,12;2977,26;3108,07;3233,56;3332,46;3472,41;3594,86;3728,92;3895,63;4128,68;4410,91;4763,06;5230,66;5699,42;6527,13;7583,28;
3000000;"WIELKOPOLSKIE";2305,57;2452,11;2700,49;2976,33;3099,10;3251,68;3399,78;3523,66;3623,11;3700,80;3797,15;3976,22;4230,99;4506,73;4819,12;5055,92;5479,49;6109,33;6856,26;7745,63;
3200000;"ZACHODNIOPOMORSKIE";2326,10;2453,75;2673,50;2973,68;3125,79;3242,47;3370,84;3510,91;3632,92;3753,80;3898,33;4075,55;4273,99;4538,73;4882,00;5200,50;5670,88;6261,19;7060,49;8110,79;
