Rok,Kod,Nazwa,Siła nabywcza
2005,0200000,dolnośląskie,3.563087651110285
2005,0400000,kujawsko-pomorskie,3.633076693326254
2005,0600000,lubelskie,3.471890835729377
2005,0800000,lubuskie,3.0473462674917764
2005,1000000,łódzkie,3.0405843046692453
2005,1200000,małopolskie,3.4840512500371594
2005,1400000,mazowieckie,3.9651619534758504
2005,1600000,opolskie,2.9095094194046163
2005,1800000,podkarpackie,3.5780881429565397
2005,2000000,podlaskie,3.428329692643756
2005,2200000,pomorskie,3.6636542296050836
2005,2400000,śląskie,3.7057934579967235
2005,2600000,świętokrzyskie,3.792890422778257
2005,2800000,warmińsko-mazurskie,3.5478298209684875
2005,3000000,wielkopolskie,3.461816816816817
2005,3200000,zachodniopomorskie,3.459604973526087
2006,0200000,dolnośląskie,3.508713004307108
2006,0400000,kujawsko-pomorskie,3.4475424910272
2006,0600000,lubelskie,3.4288937387560092
2006,0800000,lubuskie,2.988081512093379
2006,1000000,łódzkie,3.0216245543326616
2006,1200000,małopolskie,3.5525139505751056
2006,1400000,mazowieckie,3.804823953423898
2006,1600000,opolskie,3.2039967459192775
2006,1800000,podkarpackie,3.555082166768107
2006,2000000,podlaskie,3.340351669442014
2006,2200000,pomorskie,3.454028991414669
2006,2400000,śląskie,3.657766702266524
2006,2600000,świętokrzyskie,3.784825017155181
2006,2800000,warmińsko-mazurskie,3.4937123517357014
2006,3000000,wielkopolskie,3.4759515203061877
2006,3200000,zachodniopomorskie,3.2364113589300554
2007,0200000,dolnośląskie,3.4374698781018207
2007,0400000,kujawsko-pomorskie,3.4138577287666023
2007,0600000,lubelskie,3.604401525786645
2007,0800000,lubuskie,3.075718975062466
2007,1000000,łódzkie,3.0206385689957007
2007,1200000,małopolskie,3.5298230703855364
2007,1400000,mazowieckie,3.6826856452794328
2007,1600000,opolskie,3.1701415975226346
2007,1800000,podkarpackie,3.672153011427359
2007,2000000,podlaskie,3.535554470750956
2007,2200000,pomorskie,3.49178069505221
2007,2400000,śląskie,3.6952619314749287
2007,2600000,świętokrzyskie,3.702980743867054
2007,2800000,warmińsko-mazurskie,3.454773303294846
2007,3000000,wielkopolskie,3.5860699820729036
2007,3200000,zachodniopomorskie,3.3443414518207177
2008,0200000,dolnośląskie,3.3674543423099816
2008,0400000,kujawsko-pomorskie,3.4597205688866617
2008,0600000,lubelskie,3.4848649315406437
2008,0800000,lubuskie,2.9408484770650056
2008,1000000,łódzkie,3.059607315936121
2008,1200000,małopolskie,3.3958558193919766
2008,1400000,mazowieckie,3.5781550986254325
2008,1600000,opolskie,2.9303996142605513
2008,1800000,podkarpackie,3.608663452993295
2008,2000000,podlaskie,3.553305182915436
2008,2200000,pomorskie,3.575043630017452
2008,2400000,śląskie,3.766436336626978
2008,2600000,świętokrzyskie,3.7818335253301902
2008,2800000,warmińsko-mazurskie,3.326002075816735
2008,3000000,wielkopolskie,3.545106960788985
2008,3200000,zachodniopomorskie,3.404171531927559
2009,0200000,dolnośląskie,3.342134093982254
2009,0400000,kujawsko-pomorskie,3.3206066766408933
2009,0600000,lubelskie,3.582154344724177
2009,0800000,lubuskie,3.0913210363578205
2009,1000000,łódzkie,2.983292073005723
2009,1200000,małopolskie,3.5086910645859946
2009,1400000,mazowieckie,3.5191602880124546
2009,1600000,opolskie,3.06090541457991
2009,1800000,podkarpackie,3.6001173798770063
2009,2000000,podlaskie,3.6233668463742776
2009,2200000,pomorskie,3.4987974741840735
2009,2400000,śląskie,3.632781315463101
2009,2600000,świętokrzyskie,3.7559306626939537
2009,2800000,warmińsko-mazurskie,3.2436905444126074
2009,3000000,wielkopolskie,3.5234262196300463
2009,3200000,zachodniopomorskie,3.3246011486917677
2010,0200000,dolnośląskie,3.4512184350249777
2010,0400000,kujawsko-pomorskie,3.2668492794733823
2010,0600000,lubelskie,3.8004554649740165
2010,0800000,lubuskie,3.1035174328910835
2010,1000000,łódzkie,3.048684871190761
2010,1200000,małopolskie,3.4747320544945355
2010,1400000,mazowieckie,3.401461707120053
2010,1600000,opolskie,3.1397886290243666
2010,1800000,podkarpackie,3.6223048780487805
2010,2000000,podlaskie,3.6857717268623027
2010,2200000,pomorskie,3.5033782092988344
2010,2400000,śląskie,3.6123785949320535
2010,2600000,świętokrzyskie,3.724479980762294
2010,2800000,warmińsko-mazurskie,3.4373491889395607
2010,3000000,wielkopolskie,3.6078866488399703
2010,3200000,zachodniopomorskie,3.36028146827782
2011,0200000,dolnośląskie,3.4778957720640387
2011,0400000,kujawsko-pomorskie,3.4333568138715798
2011,0600000,lubelskie,3.8808881413737923
2011,0800000,lubuskie,3.2457053831331226
